as_of_date,approve_avg,approve_sd,poll_rows_cumulative,disapprove_avg,disapprove_sd,net_approval,net_approval_sd,approve_low_90,approve_high_90,disapprove_low_90,disapprove_high_90
2025-04-06,51.75456607825483,0.8910603552442898,31,44.14421836964269,0.8910603552442898,7.596293709772632,0.8911744286098804,50.28877179387798,53.22036036263169,42.67842408526583,45.61001265401954
2025-04-07,51.60042766709819,0.8257061047314047,33,44.55258596278969,0.8257061047314047,7.036082851362275,0.825790607900302,50.24214112481503,52.95871420938135,43.19429942050653,45.91087250507285
2025-04-08,51.48073011998386,0.8108867553352102,34,44.511257519352036,0.8108867553352102,6.958579125566949,0.8109604123517888,50.14682140745744,52.81463883251028,43.17734880682561,45.84516623187846
2025-04-09,51.48073011998386,0.8285151356360758,34,44.511257519352036,0.8285151356360758,6.958579125566949,0.8285872255844785,50.11782272186252,52.843637518105204,43.14835012123069,45.87416491747338
2025-04-10,51.48073011998386,0.8457761701408152,34,44.511257519352036,0.8457761701408152,6.958579125566949,0.8458467889646348,50.08942832010222,52.8720319198655,43.1199557194704,45.902559319233674
2025-04-11,51.48073011998386,0.8626919090718685,34,44.511257519352036,0.8626919090718685,6.958579125566949,0.8627611433078007,50.06160192956064,52.89985831040708,43.09212932892881,45.93038570977526
2025-04-12,51.48073011998386,0.8792822811691733,34,44.511257519352036,0.8792822811691733,6.958579125566949,0.8793502091895945,50.03431076746057,52.92714947250715,43.06483816682874,45.95767687187533
2025-04-13,51.430425918335494,0.8474143848121074,35,44.56240014445209,0.8474143848121074,6.858258828936386,0.8474708877641359,50.036429255319575,52.82442258135141,43.16840348143617,45.95639680746801
2025-04-14,51.489756809651375,0.8180447060457702,36,44.607983660811335,0.8180447060457702,6.873025294046994,0.8180916781633977,50.144073268206085,52.835440351096665,43.262300119366046,45.953667202256625
2025-04-15,51.306602397588435,0.8042032703286134,37,44.636821626770434,0.8042032703286134,6.661654880589699,0.8042442794856474,49.98368801789787,52.629516777279,43.31390724707987,45.959736006461
2025-04-16,51.306602397588435,0.8219749996242202,37,44.636821626770434,0.8219749996242202,6.661654880589699,0.8220151221756131,49.954453523206595,52.658751271970274,43.284672752388595,45.988970501152274
2025-04-17,51.306602397588435,0.8393705379671346,37,44.636821626770434,0.8393705379671346,6.661654880589699,0.8394098290378712,49.9258378626325,52.68736693254437,43.2560570918145,46.01758616172637
2025-04-18,51.306602397588435,0.8564128093432728,37,44.636821626770434,0.8564128093432728,6.661654880589699,0.8564513185729754,49.89780332621875,52.71540146895812,43.22802255540075,46.04562069814012
2025-04-19,51.306602397588435,0.8731225000005651,37,44.636821626770434,0.8731225000005651,6.661654880589699,0.8731602722784565,49.87031588508751,52.74288891008936,43.200535114269506,46.07310813927136
2025-04-20,51.306602397588435,0.889518352822041,37,44.636821626770434,0.889518352822041,6.661654880589699,0.8895554288999581,49.84334470719618,52.76986008798069,43.17356393637818,46.10007931716269
2025-04-21,51.059015979162645,0.8245784703436787,39,45.065042355944,0.8245784703436787,5.987191983999828,0.8246059595027327,49.702584395447296,52.41544756287799,43.70861077222865,46.42147393965935
2025-04-22,50.90539331205552,0.8099037292256533,40,45.06018956203848,0.8099037292256533,5.83891931220512,0.8099276959470025,49.57310167747932,52.237684946631724,43.72789792746228,46.39248119661468
2025-04-23,50.90539331205552,0.8275530500297975,40,45.06018956203848,0.8275530500297975,5.83891931220512,0.8275765056247187,49.544068544756506,52.26671807935454,43.698864794739464,46.4215143293375
2025-04-24,50.90539331205552,0.8448337414033725,40,45.06018956203848,0.8448337414033725,5.83891931220512,0.8448567172379114,49.515641807446976,52.29514481666407,43.670438057429934,46.44994106664703
2025-04-25,50.90539331205552,0.8617679795708475,40,45.06018956203848,0.8617679795708475,5.83891931220512,0.8617905039288959,49.48778498566148,52.32300163844957,43.642581235644435,46.47779788843253
2025-04-26,50.90539331205552,0.8783758026116274,40,45.06018956203848,0.8783758026116274,5.83891931220512,0.8783979011029229,49.460465116759394,52.35032150735165,43.61526136674235,46.50511775733461
2025-04-27,50.91527546230064,0.846660258941874,41,45.05390245582881,0.846660258941874,5.855745740998626,0.8466786457819306,49.52251933634126,52.30803158826002,43.66114632986943,46.44665858178819
2025-04-28,50.92407477732495,0.8174859309957053,42,45.152162187435984,0.8174859309957053,5.766866435285867,0.8175012238478467,49.57931042083701,52.26883913381288,43.80739783094805,46.49692654392392
2025-04-29,50.78270541079463,0.8037153992668794,43,45.140982231074,0.8037153992668794,5.637043472313637,0.8037287523351561,49.46059357900061,52.104817242588645,43.81887039927998,46.46309406286802
2025-04-30,50.78270541079463,0.821497682905265,43,45.140982231074,0.821497682905265,5.637043472313637,0.8215107469353196,49.43134172241547,52.134069099173786,43.78961854269484,46.49234591945316
2025-05-01,50.78270541079463,0.8389031189706707,43,45.140982231074,0.8389031189706707,5.637043472313637,0.8389159119543667,49.402709780087875,52.16270104150138,43.76098660036725,46.52097786178075
2025-05-02,50.78270541079463,0.8559546968261342,43,45.140982231074,0.8559546968261342,5.637043472313637,0.8559672349630134,49.374659934515634,52.19075088707362,43.732936754795006,46.54902770735299
2025-05-03,50.78270541079463,0.872673159332129,43,45.140982231074,0.872673159332129,5.637043472313637,0.8726854572698154,49.34715806369327,52.21825275789598,43.70543488397264,46.576529578175354
2025-05-04,50.78270541079463,0.88907729867471,43,45.140982231074,0.88907729867471,5.637043472313637,0.8890893697093823,49.32017325447473,52.24523756711452,43.6784500747541,46.60351438739389
2025-05-05,50.62453357013945,0.8242718072540061,45,45.482972470703636,0.8242718072540061,5.13766977020096,0.8242807597912503,49.26860644720661,51.98046069307229,44.127045347770796,46.83889959363648
2025-05-06,50.503407542198666,0.8096363522652338,46,45.44696180397666,0.8096363522652338,5.052842912776974,0.8096441581519053,49.171555742722354,51.83525934167498,44.11511000450035,46.778813603452974
2025-05-07,50.503407542198666,0.827291377272454,46,45.44696180397666,0.827291377272454,5.052842912776974,0.8272990165771428,49.14251322658548,51.86430185781185,44.086067488363476,46.80785611958985
2025-05-08,50.503407542198666,0.8445774226850691,46,45.44696180397666,0.8445774226850691,5.052842912776974,0.8445849056367912,49.114077681881724,51.89273740251561,44.05763194365972,46.836291664293604
2025-05-09,50.503407542198666,0.8615166991471227,46,45.44696180397666,0.8615166991471227,5.052842912776974,0.8615240349691398,49.08621257210165,51.92060251229568,44.02976683387965,46.86415677407368
2025-05-10,50.503407542198666,0.8781292745999042,46,45.44696180397666,0.8781292745999042,5.052842912776974,0.8781364716429375,49.058884885481824,51.94793019891551,44.00243914725982,46.891484460693505
2025-05-11,50.555254020853994,0.8464551293075074,47,45.40029698805855,0.8464551293075074,5.15173175774455,0.8464611179993093,49.16283533314314,51.947672708564845,44.0078783003477,46.7927156757694
2025-05-12,50.60149163507587,0.8172471313018153,48,45.462644570305585,0.8172471313018153,5.135956910276464,0.8172521113428544,49.25712010408438,51.945863166067355,44.1182730393141,46.80701610129707
2025-05-13,50.483884772365805,0.8035068840247648,49,45.42866988366234,0.8035068840247648,5.052536072155095,0.8035112326051947,49.162115948145065,51.805653596586545,44.1069010594416,46.75043870788308
2025-05-14,50.483884772365805,0.8212936823543615,49,45.42866988366234,0.8212936823543615,5.052536072155095,0.821297936757861,49.13285666489288,51.83491287983873,44.07764177618941,46.779697991135265
2025-05-15,50.483884772365805,0.838703352011417,49,45.42866988366234,0.838703352011417,5.052536072155095,0.8387075181031344,49.10421775830702,51.86355178642459,44.049002869603555,46.80833689772112
2025-05-16,50.483884772365805,0.855758910368561,49,45.42866988366234,0.855758910368561,5.052536072155095,0.8557629934290916,49.07616136480952,51.89160817992209,44.020946476106054,46.83639329121862
2025-05-17,50.483884772365805,0.8724811245380538,49,45.42866988366234,0.8724811245380538,5.052536072155095,0.8724851293418814,49.048653322500705,51.919116222230905,43.99343843379724,46.86390133352744
2025-05-18,50.483884772365805,0.8888888078242334,49,45.42866988366234,0.8888888078242334,5.052536072155095,0.8888927387051373,49.02166268349494,51.94610686123667,43.96644779479147,46.890891972533204
2025-05-19,50.3766633114963,0.8240406380635336,51,45.72174804247401,0.8240406380635336,4.652691463965512,0.8240435527392629,49.02111646188179,51.732210161110814,44.3662011928595,47.077294892088524
2025-05-20,50.2740697150478,0.8094347863721315,52,45.66796094232489,0.8094347863721315,4.604050387676859,0.8094373278584979,48.94254949146565,51.605589938629954,44.336440718742736,46.99948116590704
2025-05-21,50.2740697150478,0.8270941139854026,52,45.66796094232489,0.8270941139854026,4.604050387676859,0.827096601208532,48.91349989754181,51.63463953255379,44.3073911248189,47.02853075983088
2025-05-22,50.2740697150478,0.844384197737794,52,45.66796094232489,0.844384197737794,4.604050387676859,0.8443866340312982,48.88505770976913,51.663081720326474,44.278948937046216,47.05697294760356
2025-05-23,50.2740697150478,0.861327274262982,52,45.66796094232489,0.861327274262982,4.604050387676859,0.8613296626325518,48.85718634888519,51.69095308121041,44.25107757616228,47.0848443084875
2025-05-24,50.2740697150478,0.8779434340487422,52,45.66796094232489,0.8779434340487422,4.604050387676859,0.877945777215601,48.82985276603762,51.718286664057985,44.223743993314706,47.11217789133507
2025-05-25,50.245466062596115,0.8463004860339514,53,45.7026146427692,0.8463004860339514,4.541007570390366,0.8463024359046959,48.85330176307026,51.63763036212197,44.310450343243346,47.09477894229505
2025-05-26,50.32377303279163,0.8171866803248288,54,45.73347786197095,0.8171866803248288,4.588642868684921,0.817188302270935,48.979500943657285,51.66804512192597,44.389205772836604,47.07774995110529
2025-05-27,50.22657343760534,0.8034540977687672,55,45.67962138544843,0.8034540977687672,4.545420919872669,0.8034555140731765,48.904891446775714,51.54825542843496,44.3579393946188,47.00130337627805
2025-05-28,50.22657343760534,0.8212420393656329,55,45.67962138544843,0.8212420393656329,4.545420919872669,0.8212434249932187,48.875630282848874,51.5775165923618,44.32867823069196,47.03056454020489
2025-05-29,50.22657343760534,0.838652781084892,55,45.67962138544843,0.838652781084892,4.545420919872669,0.8386541379463839,48.84698961272069,51.60615726248999,44.30003756056378,47.059205210333076
2025-05-30,50.22657343760534,0.855709347396313,55,45.67962138544843,0.855709347396313,4.545420919872669,0.8557106772119841,48.818931561138406,51.63421531407227,44.271979508981495,47.08726326191536
2025-05-31,50.22657343760534,0.8724325115568675,55,45.67962138544843,0.8724325115568675,4.545420919872669,0.8724338158820946,48.79142195609429,51.66172491911639,44.24446990393738,47.11477286695948
2025-06-01,50.22657343760534,0.8888410922214521,55,45.67962138544843,0.8888410922214521,4.545420919872669,0.8888423724680279,48.76442984090105,51.688717034309626,44.21747778874414,47.141764982152715
2025-06-02,50.0986081714718,0.8241321249204087,57,45.99423498867717,0.8241321249204087,4.103102305446456,0.8241330746622474,48.74291082597773,51.454305516965874,44.6385376431831,47.34993233417124
2025-06-03,49.9421819793519,0.8095145586869218,58,45.994664701465396,0.8095145586869218,3.9463408085471134,0.8095153868098856,48.61053053031191,51.27383342839189,44.66301325242541,47.326316150505384
2025-06-04,49.9421819793519,0.8271721832400325,58,45.994664701465396,0.8271721832400325,3.9463408085471134,0.8271729936850928,48.58148373792205,51.30288022078175,44.633966460035545,47.35536294289525
2025-06-05,49.9421819793519,0.8444606685489158,58,45.994664701465396,0.8444606685489158,3.9463408085471134,0.8444614624019018,48.55304417958894,51.331319779114864,44.60552690170243,47.38380250122836
2025-06-06,49.9421819793519,0.8614022409571976,58,45.994664701465396,0.8614022409571976,3.9463408085471134,0.861403019197146,48.52517529297731,51.35918866572649,44.577658015090805,47.41167138783999
2025-06-07,49.9421819793519,0.878016982026021,58,45.994664701465396,0.878016982026021,3.9463408085471134,0.8780177455393249,48.497844043919095,51.38651991478471,44.55032676603259,47.4390026368982
2025-06-08,49.94821710722111,0.8463616884633793,59,45.99522160757383,0.8463616884633793,3.9519418402729682,0.846362323808435,48.55595212969885,51.34048208474337,44.60295663005157,47.38748658509609
2025-06-09,50.05754397351053,0.8171694271240588,60,45.99571829436484,0.8171694271240588,4.06088168256026,0.8171699554762155,48.713300265891455,51.40178768112961,44.65147458674576,47.33996200198392
2025-06-10,49.90647204787591,0.8034390320202144,61,45.99603267185744,0.8034390320202144,3.909564517111383,0.803439493385886,48.584814840202654,51.22812925554916,44.67437546418419,47.3176898795307
2025-06-11,49.90647204787591,0.8212272999441623,61,45.99603267185744,0.8212272999441623,3.909564517111383,0.8212277513163868,48.55555313946776,51.257390956284056,44.645113763449295,47.34695158026559
2025-06-12,49.90647204787591,0.8386383476645813,61,45.99603267185744,0.8386383476645813,3.909564517111383,0.8386387896658306,48.52691196596767,51.28603212978415,44.616472589949204,47.37559275376568
2025-06-13,49.90647204787591,0.855695201677314,61,45.99603267185744,0.855695201677314,3.909564517111383,0.8556956348680115,48.49885344111673,51.31409065463509,44.58841406509826,47.40365127861662
2025-06-14,49.90647204787591,0.8724186369934902,61,45.99603267185744,0.8724186369934902,3.909564517111383,0.8724190618803381,48.471343390021616,51.3416007057302,44.56090401400315,47.431161329711735
2025-06-15,49.90647204787591,0.8888274737954376,61,45.99603267185744,0.8888274737954376,3.909564517111383,0.888827890838361,48.44435085348241,51.368593242269405,44.533911477463946,47.45815386625094
2025-06-16,49.72728027211174,0.8240306345793948,63,46.427755842561474,0.8240306345793948,3.2987985564827556,0.8240309438590595,48.371749878228634,51.08281066599485,45.07222544867837,47.78328623644458
2025-06-17,49.59856029064712,0.8094260637026081,64,46.39587872046676,0.8094260637026081,3.2020097259626668,0.8094263333833535,48.26705441585633,50.930066165437914,45.06437284567597,47.727384595257554
2025-06-18,49.59856029064712,0.8270855775559737,64,46.39587872046676,0.8270855775559737,3.2020097259626668,0.8270858414786338,48.238004515567546,50.9591160657267,45.035322945387186,47.75643449554634
2025-06-19,49.59856029064712,0.8443758361068242,64,46.39587872046676,0.8443758361068242,3.2020097259626668,0.8443760946251497,48.2095620402514,50.987558541042844,45.00688047007104,47.784876970862484
2025-06-20,49.59856029064712,0.8613190771143401,64,46.39587872046676,0.8613190771143401,3.2020097259626668,0.861319330547283,48.18169040879403,51.01543017250021,44.97900883861367,47.81274860231985
2025-06-21,49.59856029064712,0.8779353920426597,64,46.39587872046676,0.8779353920426597,3.2020097259626668,0.877935640678985,48.154356570736944,51.0427640105573,44.951675000556584,47.84008244037694
2025-06-22,49.64045642034441,0.8462937938528262,65,46.35456296163511,0.8462937938528262,3.285291772025174,0.8462940007565848,48.24830312945651,51.032609711232304,44.96240967074721,47.74671625252301
2025-06-23,49.677770029976195,0.8171811136114531,66,46.421546735102886,0.8171811136114531,3.2556840390579174,0.8171812857190289,48.333507098085356,51.02203296186703,45.07728380321205,47.765809666993725
2025-06-24,49.55457927866781,0.8034492368387078,67,46.390594543753004,0.8034492368387078,3.1634850396221426,0.8034493871254751,48.23290528406813,50.87625327326749,45.068920549153326,47.71226853835268
2025-06-25,49.55457927866781,0.8212372837229823,67,46.390594543753004,0.8212372837229823,3.1634850396221426,0.82123743075453,48.2036439469435,50.90551461039212,45.039659212028695,47.74152987547731
2025-06-26,49.55457927866781,0.8386481241716947,67,46.390594543753004,0.8386481241716947,3.1634850396221426,0.8386482681507794,48.17500311440537,50.93415544293025,45.011018379490565,47.77017070801544
2025-06-27,49.55457927866781,0.8557047833082986,67,46.390594543753004,0.8557047833082986,3.1634850396221426,0.8557049244174663,48.14694491012566,50.96221364720996,44.982960175210856,47.79822891229515
2025-06-28,49.55457927866781,0.8724280349557219,67,46.390594543753004,0.8724280349557219,3.1634850396221426,0.8724281733600203,48.11943516116565,50.98972339616997,44.95545042625084,47.825738661255166
2025-06-29,49.55457927866781,0.8888366982616673,67,46.390594543753004,0.8888366982616673,3.1634850396221426,0.888836834110908,48.092442910027366,51.01671564730825,44.92845817511256,47.85273091239345
2025-06-30,49.43520993354144,0.824057869800308,69,46.755256614729994,0.824057869800308,2.6795388445591777,0.8240579705533185,48.07963473771993,50.790785129362945,45.399681418908486,48.1108318105515
2025-07-01,49.328249274339754,0.8094498117684692,70,46.69897025306957,0.8094498117684692,2.6288954251918493,0.8094498996209689,47.996704333980624,50.659794214698884,45.36742531271044,48.0305151934287
2025-07-02,49.328249274339754,0.8271088185795206,70,46.69897025306957,0.8271088185795206,2.6288954251918493,0.8271089045563449,47.96765526777644,50.688843280903065,45.33837624650626,48.05956425963288
